row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,2.0, 426MAKEMAGIC,UNIVERSITY OF NORTH CAROLINA,KARI,NORTH,"Dr. North is the best!  I hope to one day eat blunch (mid-day breakfast) with her and talk about the human genome.  Keep on rocking, Dr. North!"
2,5.0,3.0, EPI743,UNIVERSITY OF NORTH CAROLINA,KARI,NORTH,I love Dr. North's enthusiasm in her teaching and in her research in the field of her class. She is amazing and passionate!
3,5.0,3.0, EPI743,UNIVERSITY OF NORTH CAROLINA,KARI,NORTH,she rocks
