row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,2.0, PSYC532,UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,"One of the best professors. He was nice and funny, and he also knows what he's teaching really well. He gives good lectures--clear, concise, and hilarious."
2,4.0,2.0, PSYC532H,UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,Prof Curran is funny and eloquent. He's an academic that you can feel comfortable talking to outside of class. Lectures were a bit loose but the midterm and final were graded very fairly.
3,2.5,4.0, PSYC210,UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,"terrible class, lectures unclear and all he makes sure hes clear about is voicing his liberal opinions"
4,4.5,3.0, PSYCH210,UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,"Great teacher who makes the subject interesting.  Provides class slides online, so going along with lectures are relatively easy.  Homework isn't terrible, and the tests are relatively easy so long as you've studied."
5,5.0,4.0, GRADUATE,UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,WONDEFUL! Makes stats understandable. Is always available and classes are as entertaining as they can be with grad stats. He's also a reallhy nice and funny person.
6,5.0,3.0, PSYC30,UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,very nice man...exams and homework are pretty simple but study for his FINAL!!!
7,5.0,3.0, PSYC030,UNIVERSITY OF NORTH CAROLINA,PATRICK,CURRAN,nice guy and I miss watching Wallace & Gromit!!
